Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:05,50950,50990,50920,50940,3416
05/03/2018,09:10,50950,51000,50930,51000,1898
05/03/2018,09:15,50990,51020,50980,51010,1358
05/03/2018,09:20,51000,51030,50980,51000,1338
05/03/2018,09:25,51000,51050,51000,51010,1918
05/03/2018,09:30,51010,51040,51000,51020,1154
05/03/2018,09:35,51020,51060,51020,51050,1062
05/03/2018,09:40,51050,51070,51040,51070,1714
05/03/2018,09:45,51060,51070,51040,51050,1314
05/03/2018,09:50,51050,51060,51020,51050,1998
05/03/2018,09:55,51040,51050,51020,51030,990
05/03/2018,10:00,51020,51030,51010,51020,818
05/03/2018,10:05,51020,51030,50980,50990,1536
05/03/2018,10:10,50990,50990,50960,50970,2048
05/03/2018,10:15,50970,51000,50970,50970,1124
05/03/2018,10:20,50970,50970,50970,50970,0
05/03/2018,10:25,50970,50970,50970,50970,0
05/03/2018,10:30,50970,50970,50970,50970,0
05/03/2018,10:35,50970,51000,50930,50950,2462
05/03/2018,10:40,50950,50960,50930,50950,1792
05/03/2018,10:45,50940,50950,50930,50950,642
05/03/2018,10:50,50940,50950,50880,50890,3344
05/03/2018,10:55,50890,50920,50880,50880,1738
05/03/2018,11:00,50880,50910,50860,50900,2174
05/03/2018,11:05,50910,50940,50900,50920,1624
05/03/2018,11:10,50920,50950,50890,50900,3430
05/03/2018,11:15,50900,50920,50890,50910,1194
05/03/2018,11:20,50910,50950,50900,50940,1050
05/03/2018,11:25,50950,50970,50930,50970,2522
05/03/2018,11:30,50960,50970,50950,50950,1070
05/03/2018,11:35,50960,50960,50960,50960,2
05/03/2018,11:40,50960,50960,50960,50960,0
05/03/2018,11:45,50960,50960,50960,50960,0
05/03/2018,11:50,50960,50960,50960,50960,0
05/03/2018,11:55,50960,50960,50960,50960,0
05/03/2018,12:00,50960,50960,50960,50960,0
05/03/2018,12:05,50960,50960,50960,50960,0
05/03/2018,12:10,50960,50960,50960,50960,0
05/03/2018,12:15,50960,50960,50960,50960,0
05/03/2018,12:20,50960,50960,50960,50960,0
05/03/2018,12:25,50960,50960,50960,50960,0
05/03/2018,12:30,50960,50960,50960,50960,0
05/03/2018,12:35,50960,50960,50960,50960,0
05/03/2018,12:40,50960,50960,50960,50960,0
05/03/2018,12:45,50960,50960,50960,50960,0
05/03/2018,12:50,50960,50960,50960,50960,0
05/03/2018,12:55,50960,50960,50960,50960,0
05/03/2018,13:00,50960,50960,50960,50960,0
05/03/2018,13:05,50960,50960,50960,50960,0
05/03/2018,13:10,50960,50960,50960,50960,0
05/03/2018,13:15,50960,50960,50960,50960,0
05/03/2018,13:20,50960,50960,50960,50960,0
05/03/2018,13:25,50960,50960,50960,50960,0
05/03/2018,13:30,50960,50960,50960,50960,0
05/03/2018,13:35,50950,51040,50940,51030,3044
05/03/2018,13:40,51030,51070,51030,51040,2958
05/03/2018,13:45,51040,51060,51010,51010,1662
05/03/2018,13:50,51010,51020,50990,50990,1906
05/03/2018,13:55,50990,51000,50960,50980,1318
05/03/2018,14:00,50980,50980,50970,50980,266
05/03/2018,14:05,50980,50990,50970,50970,1250
05/03/2018,14:10,50960,50970,50950,50970,1530
05/03/2018,14:15,50960,51000,50940,50970,1880
05/03/2018,14:20,50970,51020,50960,51020,802
05/03/2018,14:25,51010,51060,51010,51040,2714
05/03/2018,14:30,51040,51050,51010,51010,1444
05/03/2018,14:35,51010,51040,51000,51030,1576
05/03/2018,14:40,51040,51120,51010,51010,5940
05/03/2018,14:45,51010,51060,51010,51050,2088
05/03/2018,14:50,51050,51060,51030,51040,1378
05/03/2018,14:55,51050,51070,51030,51060,2354
05/03/2018,15:00,51060,51100,51060,51060,3756
05/04/2018,09:05,51030,51080,50990,51080,4654
05/04/2018,09:10,51070,51120,51040,51110,1994
05/04/2018,09:15,51110,51120,51070,51080,1728
05/04/2018,09:20,51080,51130,51080,51090,2060
05/04/2018,09:25,51100,51120,51090,51110,1340
05/04/2018,09:30,51110,51140,51080,51130,1720
05/04/2018,09:35,51130,51150,51080,51130,3274
05/04/2018,09:40,51130,51170,51110,51150,2678
05/04/2018,09:45,51160,51160,51130,51150,1360
05/04/2018,09:50,51150,51170,51150,51170,1020
05/04/2018,09:55,51180,51180,51140,51140,1154
05/04/2018,10:00,51140,51160,51130,51150,1620
05/04/2018,10:05,51150,51160,51130,51140,1014
05/04/2018,10:10,51140,51150,51100,51110,1656
05/04/2018,10:15,51110,51130,51110,51130,546
05/04/2018,10:20,51130,51130,51130,51130,2
05/04/2018,10:25,51130,51130,51130,51130,0
05/04/2018,10:30,51130,51130,51130,51130,0
05/04/2018,10:35,51140,51150,51110,51120,1056
05/04/2018,10:40,51130,51130,51120,51120,1174
05/04/2018,10:45,51130,51140,51120,51130,556
05/04/2018,10:50,51120,51130,51100,51110,1096
05/04/2018,10:55,51120,51150,51120,51130,1422
05/04/2018,11:00,51140,51140,51130,51140,392
05/04/2018,11:05,51140,51140,51080,51110,1804
05/04/2018,11:10,51110,51140,51100,51130,1220
05/04/2018,11:15,51130,51160,51130,51150,1320
05/04/2018,11:20,51150,51170,51140,51150,1548
05/04/2018,11:25,51160,51200,51150,51200,1988
05/04/2018,11:30,51210,51220,51190,51220,2192
05/04/2018,11:35,51220,51220,51220,51220,2
05/04/2018,11:40,51220,51220,51220,51220,0
05/04/2018,11:45,51220,51220,51220,51220,0
05/04/2018,11:50,51220,51220,51220,51220,0
05/04/2018,11:55,51220,51220,51220,51220,0
05/04/2018,12:00,51220,51220,51220,51220,0
05/04/2018,12:05,51220,51220,51220,51220,0
05/04/2018,12:10,51220,51220,51220,51220,0
05/04/2018,12:15,51220,51220,51220,51220,0
05/04/2018,12:20,51220,51220,51220,51220,0
05/04/2018,12:25,51220,51220,51220,51220,0
05/04/2018,12:30,51220,51220,51220,51220,0
05/04/2018,12:35,51220,51220,51220,51220,0
05/04/2018,12:40,51220,51220,51220,51220,0
05/04/2018,12:45,51220,51220,51220,51220,0
05/04/2018,12:50,51220,51220,51220,51220,0
05/04/2018,12:55,51220,51220,51220,51220,0
05/04/2018,13:00,51220,51220,51220,51220,0
05/04/2018,13:05,51220,51220,51220,51220,0
05/04/2018,13:10,51220,51220,51220,51220,0
05/04/2018,13:15,51220,51220,51220,51220,0
05/04/2018,13:20,51220,51220,51220,51220,0
05/04/2018,13:25,51220,51220,51220,51220,0
05/04/2018,13:30,51220,51220,51220,51220,0
05/04/2018,13:35,51220,51270,51220,51250,2338
05/04/2018,13:40,51250,51310,51240,51290,3302
05/04/2018,13:45,51300,51330,51280,51300,2446
05/04/2018,13:50,51290,51300,51250,51270,1772
05/04/2018,13:55,51270,51280,51250,51260,1740
05/04/2018,14:00,51260,51270,51250,51260,924
05/04/2018,14:05,51260,51270,51220,51240,1604
05/04/2018,14:10,51240,51250,51210,51220,1474
05/04/2018,14:15,51220,51240,51190,51200,2032
05/04/2018,14:20,51190,51240,51190,51210,2536
05/04/2018,14:25,51210,51250,51210,51210,1002
05/04/2018,14:30,51210,51240,51210,51240,1124
05/04/2018,14:35,51240,51240,51220,51240,836
05/04/2018,14:40,51240,51270,51240,51250,1156
05/04/2018,14:45,51250,51270,51240,51270,1158
05/04/2018,14:50,51270,51310,51260,51290,1456
05/04/2018,14:55,51300,51300,51270,51280,1544
05/04/2018,15:00,51290,51310,51260,51310,2612
05/07/2018,09:05,51160,51240,51080,51100,6100
05/07/2018,09:10,51090,51100,51040,51040,2836
05/07/2018,09:15,51050,51080,51040,51060,1792
05/07/2018,09:20,51070,51080,51020,51020,1722
05/07/2018,09:25,51020,51040,50960,50980,4198
05/07/2018,09:30,50980,51030,50970,51000,1992
05/07/2018,09:35,51010,51030,50990,51010,1550
05/07/2018,09:40,51020,51040,51010,51030,628
05/07/2018,09:45,51040,51080,51030,51060,2338
05/07/2018,09:50,51070,51070,51040,51040,1838
05/07/2018,09:55,51050,51060,51040,51050,1062
05/07/2018,10:00,51060,51070,51040,51070,998
05/07/2018,10:05,51070,51120,51050,51120,2240
05/07/2018,10:10,51120,51140,51100,51110,2352
05/07/2018,10:15,51120,51130,51100,51120,1314
05/07/2018,10:20,51130,51130,51130,51130,2
05/07/2018,10:25,51130,51130,51130,51130,0
05/07/2018,10:30,51130,51130,51130,51130,0
05/07/2018,10:35,51150,51150,51110,51110,1278
05/07/2018,10:40,51110,51110,51080,51110,1612
05/07/2018,10:45,51110,51130,51090,51120,1268
05/07/2018,10:50,51130,51140,51110,51120,1144
05/07/2018,10:55,51120,51120,51110,51120,1132
05/07/2018,11:00,51110,51130,51110,51130,794
05/07/2018,11:05,51130,51140,51110,51120,796
05/07/2018,11:10,51120,51130,51110,51110,540
05/07/2018,11:15,51110,51120,51100,51120,536
05/07/2018,11:20,51120,51120,51100,51120,838
05/07/2018,11:25,51120,51130,51100,51120,1038
05/07/2018,11:30,51110,51180,51110,51170,1346
05/07/2018,11:35,51170,51170,51170,51170,4
05/07/2018,11:40,51170,51170,51170,51170,0
05/07/2018,11:45,51170,51170,51170,51170,0
05/07/2018,11:50,51170,51170,51170,51170,0
05/07/2018,11:55,51170,51170,51170,51170,0
05/07/2018,12:00,51170,51170,51170,51170,0
05/07/2018,12:05,51170,51170,51170,51170,0
05/07/2018,12:10,51170,51170,51170,51170,0
05/07/2018,12:15,51170,51170,51170,51170,0
05/07/2018,12:20,51170,51170,51170,51170,0
05/07/2018,12:25,51170,51170,51170,51170,0
05/07/2018,12:30,51170,51170,51170,51170,0
05/07/2018,12:35,51170,51170,51170,51170,0
05/07/2018,12:40,51170,51170,51170,51170,0
05/07/2018,12:45,51170,51170,51170,51170,0
05/07/2018,12:50,51170,51170,51170,51170,0
05/07/2018,12:55,51170,51170,51170,51170,0
05/07/2018,13:00,51170,51170,51170,51170,0
05/07/2018,13:05,51170,51170,51170,51170,0
05/07/2018,13:10,51170,51170,51170,51170,0
05/07/2018,13:15,51170,51170,51170,51170,0
05/07/2018,13:20,51170,51170,51170,51170,0
05/07/2018,13:25,51170,51170,51170,51170,0
05/07/2018,13:30,51170,51170,51170,51170,0
05/07/2018,13:35,51170,51210,51100,51150,4012
05/07/2018,13:40,51150,51160,51120,51160,1728
