Window,IS_Start,IS_End,OOS_Start,OOS_End,IS_Bars,OOS_Bars,ChnLen,StpPct,IS_NetProfit,IS_MaxDrawdown,IS_Objective,Evaluations,RuntimeSeconds
1,2018-07-02 09:05:00,2022-06-30 15:00:00,2022-07-01 09:05:00,2022-09-30 15:00:00,69912,4680,500,0.005,421702.09250000416,-8792.179999999935,47.96331427473133,91296,6.676474999985658
2,2018-10-08 09:05:00,2022-09-30 15:00:00,2022-10-10 09:05:00,2022-12-30 15:00:00,69984,4320,3460,0.005,206424.4250000019,-4310.694999999949,47.88657629454284,91296,6.265636708994862
3,2019-01-02 09:05:00,2022-12-30 15:00:00,2023-01-03 09:05:00,2023-03-31 15:00:00,69984,4248,3460,0.005,211847.07500000193,-4310.694999999949,49.14452889847332,91296,6.636098125018179
4,2019-04-01 09:05:00,2023-03-31 15:00:00,2023-04-03 09:05:00,2023-06-30 15:00:00,70056,4248,580,0.005,391886.1800000028,-9795.660000000207,40.00610270262489,91296,5.407229792006547
5,2019-07-01 09:05:00,2023-06-30 15:00:00,2023-07-03 09:05:00,2023-09-28 15:00:00,69984,4608,640,0.005,373730.8750000033,-9792.179999999877,38.16625868805598,91296,5.320276208978612
6,2019-10-08 09:05:00,2023-09-28 15:00:00,2023-10-09 09:05:00,2023-12-29 15:00:00,69912,4320,640,0.005,368831.10500000353,-9792.179999999877,37.66588287797081,91296,5.30555266601732
7,2020-01-02 09:05:00,2023-12-29 15:00:00,2024-01-02 09:05:00,2024-03-29 15:00:00,69840,4176,640,0.005,367307.73500000284,-9792.179999999877,37.51031282104776,91296,5.315274874999886
8,2020-04-01 09:05:00,2024-03-29 15:00:00,2024-04-01 09:05:00,2024-06-28 15:00:00,69840,4248,2020,0.005,224733.222500002,-6181.090000000084,36.35818642019433,91296,5.288674750016071
9,2020-07-01 09:05:00,2024-06-28 15:00:00,2024-07-01 09:05:00,2024-09-30 15:00:00,69840,4608,640,0.005,392360.60000000324,-9792.179999999818,40.06876916069869,91296,5.306574875023216
10,2020-10-09 09:05:00,2024-09-30 15:00:00,2024-10-08 09:05:00,2024-12-31 15:00:00,69696,4392,2020,0.005,227307.75500000152,-6181.090000000084,36.774703976159294,91296,5.3951638330181595
11,2021-01-04 09:05:00,2024-12-31 15:00:00,2025-01-02 09:05:00,2025-03-31 15:00:00,69768,4104,2030,0.005,232831.81500000076,-6181.090000000084,37.668407190317176,91296,5.4419982910039835
12,2021-04-01 09:05:00,2025-03-31 15:00:00,2025-04-01 09:05:00,2025-06-30 15:00:00,69696,4320,2030,0.005,280246.28250000114,-6181.090000000084,45.339298165857045,91296,5.276812333002454
13,2021-07-01 09:05:00,2025-06-30 15:00:00,2025-07-01 09:05:00,2025-09-30 15:00:00,69696,4752,2030,0.005,349945.6800000014,-6181.090000000084,56.61552897628034,91296,5.282577040983597
14,2021-10-08 09:05:00,2025-09-30 15:00:00,2025-10-09 09:05:00,2025-12-31 15:00:00,69840,4320,1920,0.005,388391.29500000173,-7105.794999999809,54.65838727405057,91296,5.3014245829836
15,2022-01-04 09:05:00,2025-12-31 15:00:00,2026-01-05 09:05:00,2026-03-31 15:00:00,69768,4032,710,0.005,753442.100000005,-16520.482499999693,45.60654327136142,91296,5.320873042015592
