Window,OOS_Start,OOS_End,OOS_Bars,ChnLen,StpPct,Entry_Position,End_Position,OOS_NetProfit,OOS_MaxDrawdown
1,2023-07-03 09:05:00,2023-09-28 15:00:00,4608,640,0.005,0,0,21706.985000000215,-8716.524999999834
2,2023-10-09 09:05:00,2023-12-29 15:00:00,4320,640,0.005,0,0,25603.08500000038,-7141.627499999813
3,2024-01-02 09:05:00,2024-03-29 15:00:00,4176,640,0.005,0,1,35006.78250000018,-4883.130000000034
4,2024-04-01 09:05:00,2024-06-28 15:00:00,4248,640,0.005,1,0,55371.32750000009,-4829.797500000001
5,2024-07-01 09:05:00,2024-09-30 15:00:00,4608,640,0.005,0,0,17905.03000000024,-17014.17749999973
6,2024-10-08 09:05:00,2024-12-31 15:00:00,4392,2020,0.005,0,0,22059.40999999988,-6032.162500000035
7,2025-01-02 09:05:00,2025-03-31 15:00:00,4104,2030,0.005,0,1,67879.94750000021,-5182.897499999934
8,2025-04-01 09:05:00,2025-06-30 15:00:00,4320,2030,0.005,1,0,75144.4125,-5742.262499999924
9,2025-07-01 09:05:00,2025-09-30 15:00:00,4752,2030,0.005,0,0,41943.45000000004,-7105.794999999867
10,2025-10-09 09:05:00,2025-12-31 15:00:00,4320,1920,0.005,0,0,113459.22499999986,-12965.227500000125
11,2026-01-05 09:05:00,2026-03-31 15:00:00,4032,710,0.005,0,0,351157.350000001,-10170.56249999997
