Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:05,270.80,271.15,270.80,270.90,4408
05/03/2018,09:10,270.95,271.00,270.90,271.00,2096
05/03/2018,09:15,271.00,271.00,270.95,270.95,494
05/03/2018,09:20,271.00,271.15,270.95,271.10,1580
05/03/2018,09:25,271.10,271.15,270.95,270.95,1312
05/03/2018,09:30,271.00,271.05,270.95,271.00,1146
05/03/2018,09:35,271.00,271.05,270.95,271.05,1722
05/03/2018,09:40,271.05,271.05,270.90,270.90,2886
05/03/2018,09:45,270.85,270.95,270.75,270.75,3478
05/03/2018,09:50,270.75,270.85,270.70,270.75,1510
05/03/2018,09:55,270.80,270.90,270.75,270.85,3262
05/03/2018,10:00,270.80,270.90,270.75,270.80,2474
05/03/2018,10:05,270.80,270.80,270.75,270.80,1090
05/03/2018,10:10,270.80,270.80,270.75,270.75,892
05/03/2018,10:15,270.75,270.80,270.65,270.80,1264
05/03/2018,10:20,270.80,270.80,270.80,270.80,0
05/03/2018,10:25,270.80,270.80,270.80,270.80,0
05/03/2018,10:30,270.80,270.80,270.80,270.80,0
05/03/2018,10:35,270.75,270.75,270.55,270.55,1046
05/03/2018,10:40,270.60,270.60,270.50,270.50,974
05/03/2018,10:45,270.55,270.60,270.50,270.55,1036
05/03/2018,10:50,270.55,270.60,270.50,270.55,804
05/03/2018,10:55,270.55,270.65,270.55,270.55,978
05/03/2018,11:00,270.60,270.65,270.55,270.65,678
05/03/2018,11:05,270.60,270.65,270.55,270.55,1506
05/03/2018,11:10,270.60,270.70,270.55,270.65,1816
05/03/2018,11:15,270.60,270.75,270.60,270.70,1320
05/03/2018,11:20,270.70,270.70,270.60,270.70,606
05/03/2018,11:25,270.65,270.75,270.65,270.75,498
05/03/2018,11:30,270.70,270.70,270.60,270.65,600
05/03/2018,11:35,270.65,270.65,270.65,270.65,0
05/03/2018,11:40,270.65,270.65,270.65,270.65,0
05/03/2018,11:45,270.65,270.65,270.65,270.65,0
05/03/2018,11:50,270.65,270.65,270.65,270.65,0
05/03/2018,11:55,270.65,270.65,270.65,270.65,0
05/03/2018,12:00,270.65,270.65,270.65,270.65,0
05/03/2018,12:05,270.65,270.65,270.65,270.65,0
05/03/2018,12:10,270.65,270.65,270.65,270.65,0
05/03/2018,12:15,270.65,270.65,270.65,270.65,0
05/03/2018,12:20,270.65,270.65,270.65,270.65,0
05/03/2018,12:25,270.65,270.65,270.65,270.65,0
05/03/2018,12:30,270.65,270.65,270.65,270.65,0
05/03/2018,12:35,270.65,270.65,270.65,270.65,0
05/03/2018,12:40,270.65,270.65,270.65,270.65,0
05/03/2018,12:45,270.65,270.65,270.65,270.65,0
05/03/2018,12:50,270.65,270.65,270.65,270.65,0
05/03/2018,12:55,270.65,270.65,270.65,270.65,0
05/03/2018,13:00,270.65,270.65,270.65,270.65,0
05/03/2018,13:05,270.65,270.65,270.65,270.65,0
05/03/2018,13:10,270.65,270.65,270.65,270.65,0
05/03/2018,13:15,270.65,270.65,270.65,270.65,0
05/03/2018,13:20,270.65,270.65,270.65,270.65,0
05/03/2018,13:25,270.65,270.65,270.65,270.65,0
05/03/2018,13:30,270.65,270.65,270.65,270.65,0
05/03/2018,13:35,270.65,270.70,270.60,270.70,886
05/03/2018,13:40,270.70,270.70,270.60,270.60,666
05/03/2018,13:45,270.65,270.75,270.60,270.75,690
05/03/2018,13:50,270.75,270.90,270.75,270.80,2592
05/03/2018,13:55,270.80,270.85,270.65,270.65,1406
05/03/2018,14:00,270.65,270.70,270.60,270.60,1816
05/03/2018,14:05,270.60,270.65,270.35,270.40,2450
05/03/2018,14:10,270.40,270.55,270.35,270.55,1276
05/03/2018,14:15,270.50,270.60,270.40,270.45,1604
05/03/2018,14:20,270.40,270.50,270.40,270.45,338
05/03/2018,14:25,270.45,270.60,270.45,270.55,2192
05/03/2018,14:30,270.60,270.65,270.55,270.55,1336
05/03/2018,14:35,270.55,270.65,270.50,270.65,1490
05/03/2018,14:40,270.60,270.70,270.60,270.65,2010
05/03/2018,14:45,270.70,270.70,270.60,270.65,1936
05/03/2018,14:50,270.65,270.70,270.55,270.60,1402
05/03/2018,14:55,270.60,270.60,270.45,270.50,1254
05/03/2018,15:00,270.45,270.50,270.35,270.40,2070
05/04/2018,09:05,270.70,270.80,270.60,270.65,1056
05/04/2018,09:10,270.70,270.70,270.55,270.60,1676
05/04/2018,09:15,270.60,270.65,270.55,270.60,1042
05/04/2018,09:20,270.60,270.65,270.50,270.55,1612
05/04/2018,09:25,270.55,270.65,270.55,270.65,1528
05/04/2018,09:30,270.60,270.75,270.55,270.60,1818
05/04/2018,09:35,270.60,270.65,270.55,270.60,994
05/04/2018,09:40,270.60,270.70,270.60,270.65,1632
05/04/2018,09:45,270.65,270.65,270.60,270.60,1314
05/04/2018,09:50,270.60,270.70,270.55,270.65,1514
05/04/2018,09:55,270.65,270.75,270.65,270.70,1576
05/04/2018,10:00,270.65,270.70,270.65,270.65,1114
05/04/2018,10:05,270.65,270.70,270.65,270.70,606
05/04/2018,10:10,270.70,270.70,270.65,270.65,816
05/04/2018,10:15,270.70,270.75,270.65,270.65,944
05/04/2018,10:20,270.65,270.65,270.65,270.65,0
05/04/2018,10:25,270.65,270.65,270.65,270.65,0
05/04/2018,10:30,270.65,270.65,270.65,270.65,0
05/04/2018,10:35,270.70,270.85,270.65,270.75,2932
05/04/2018,10:40,270.80,270.80,270.70,270.70,816
05/04/2018,10:45,270.70,270.75,270.70,270.70,500
05/04/2018,10:50,270.75,270.80,270.70,270.75,682
05/04/2018,10:55,270.70,270.80,270.70,270.70,1220
05/04/2018,11:00,270.75,270.80,270.70,270.75,1964
05/04/2018,11:05,270.80,270.80,270.70,270.80,782
05/04/2018,11:10,270.80,270.80,270.70,270.70,512
05/04/2018,11:15,270.75,270.75,270.70,270.70,810
05/04/2018,11:20,270.70,270.80,270.70,270.75,80
05/04/2018,11:25,270.75,270.80,270.75,270.75,62
05/04/2018,11:30,270.80,270.85,270.75,270.80,638
05/04/2018,11:35,270.80,270.80,270.80,270.80,0
05/04/2018,11:40,270.80,270.80,270.80,270.80,0
05/04/2018,11:45,270.80,270.80,270.80,270.80,0
05/04/2018,11:50,270.80,270.80,270.80,270.80,0
05/04/2018,11:55,270.80,270.80,270.80,270.80,0
05/04/2018,12:00,270.80,270.80,270.80,270.80,0
05/04/2018,12:05,270.80,270.80,270.80,270.80,0
05/04/2018,12:10,270.80,270.80,270.80,270.80,0
05/04/2018,12:15,270.80,270.80,270.80,270.80,0
05/04/2018,12:20,270.80,270.80,270.80,270.80,0
05/04/2018,12:25,270.80,270.80,270.80,270.80,0
05/04/2018,12:30,270.80,270.80,270.80,270.80,0
05/04/2018,12:35,270.80,270.80,270.80,270.80,0
05/04/2018,12:40,270.80,270.80,270.80,270.80,0
05/04/2018,12:45,270.80,270.80,270.80,270.80,0
05/04/2018,12:50,270.80,270.80,270.80,270.80,0
05/04/2018,12:55,270.80,270.80,270.80,270.80,0
05/04/2018,13:00,270.80,270.80,270.80,270.80,0
05/04/2018,13:05,270.80,270.80,270.80,270.80,0
05/04/2018,13:10,270.80,270.80,270.80,270.80,0
05/04/2018,13:15,270.80,270.80,270.80,270.80,0
05/04/2018,13:20,270.80,270.80,270.80,270.80,0
05/04/2018,13:25,270.80,270.80,270.80,270.80,0
05/04/2018,13:30,270.80,270.80,270.80,270.80,0
05/04/2018,13:35,270.75,270.75,270.70,270.75,1348
05/04/2018,13:40,270.70,270.75,270.65,270.70,1506
05/04/2018,13:45,270.75,270.85,270.75,270.85,722
05/04/2018,13:50,270.80,270.90,270.75,270.75,2230
05/04/2018,13:55,270.75,270.80,270.70,270.80,1448
05/04/2018,14:00,270.75,270.80,270.70,270.80,2170
05/04/2018,14:05,270.80,270.80,270.65,270.70,3390
05/04/2018,14:10,270.75,270.80,270.65,270.70,1380
05/04/2018,14:15,270.70,270.70,270.60,270.65,1808
05/04/2018,14:20,270.65,270.75,270.65,270.70,2240
05/04/2018,14:25,270.75,270.85,270.70,270.75,2842
05/04/2018,14:30,270.75,270.80,270.70,270.80,2134
05/04/2018,14:35,270.80,270.80,270.65,270.75,1540
05/04/2018,14:40,270.75,270.80,270.70,270.75,1330
05/04/2018,14:45,270.75,270.80,270.75,270.80,464
05/04/2018,14:50,270.80,270.80,270.70,270.75,502
05/04/2018,14:55,270.75,270.80,270.75,270.80,666
05/04/2018,15:00,270.75,270.80,270.70,270.80,1340
05/07/2018,09:05,275.65,275.65,275.35,275.45,4926
05/07/2018,09:10,275.45,275.65,275.45,275.60,3072
05/07/2018,09:15,275.60,275.75,275.55,275.75,1922
05/07/2018,09:20,275.75,275.75,275.65,275.75,1276
05/07/2018,09:25,275.75,275.75,275.65,275.70,1048
05/07/2018,09:30,275.65,275.70,275.60,275.60,1050
05/07/2018,09:35,275.65,275.70,275.55,275.55,966
05/07/2018,09:40,275.55,275.65,275.55,275.55,848
05/07/2018,09:45,275.60,275.60,275.55,275.60,2442
05/07/2018,09:50,275.60,275.60,275.50,275.55,796
05/07/2018,09:55,275.55,275.60,275.55,275.55,204
