Date,Time,Open,High,Low,Close,Volume
05/03/2018,09:05,15490,15505,15475,15475,5186
05/03/2018,09:10,15475,15490,15470,15490,1370
05/03/2018,09:15,15485,15495,15485,15495,1354
05/03/2018,09:20,15495,15495,15490,15495,476
05/03/2018,09:25,15495,15500,15490,15495,1388
05/03/2018,09:30,15495,15505,15490,15505,1150
05/03/2018,09:35,15505,15510,15500,15510,1310
05/03/2018,09:40,15505,15510,15495,15505,1488
05/03/2018,09:45,15505,15510,15500,15505,422
05/03/2018,09:50,15505,15505,15495,15505,824
05/03/2018,09:55,15505,15515,15505,15510,1174
05/03/2018,10:00,15510,15515,15505,15510,692
05/03/2018,10:05,15505,15520,15505,15520,1108
05/03/2018,10:10,15515,15520,15510,15520,1652
05/03/2018,10:15,15515,15520,15510,15515,956
05/03/2018,10:20,15515,15515,15515,15515,0
05/03/2018,10:25,15515,15515,15515,15515,0
05/03/2018,10:30,15515,15515,15515,15515,0
05/03/2018,10:35,15515,15530,15515,15525,5494
05/03/2018,10:40,15525,15530,15520,15525,1962
05/03/2018,10:45,15530,15530,15505,15510,2172
05/03/2018,10:50,15510,15515,15500,15500,1152
05/03/2018,10:55,15505,15505,15495,15495,1366
05/03/2018,11:00,15495,15500,15490,15495,1288
05/03/2018,11:05,15490,15520,15490,15510,1632
05/03/2018,11:10,15510,15525,15510,15520,1052
05/03/2018,11:15,15515,15540,15515,15520,7720
05/03/2018,11:20,15530,15550,15520,15535,10610
05/03/2018,11:25,15540,15545,15520,15535,2236
05/03/2018,11:30,15535,15545,15530,15540,2388
05/03/2018,11:35,15540,15540,15540,15540,0
05/03/2018,11:40,15540,15540,15540,15540,0
05/03/2018,11:45,15540,15540,15540,15540,0
05/03/2018,11:50,15540,15540,15540,15540,0
05/03/2018,11:55,15540,15540,15540,15540,0
05/03/2018,12:00,15540,15540,15540,15540,0
05/03/2018,12:05,15540,15540,15540,15540,0
05/03/2018,12:10,15540,15540,15540,15540,0
05/03/2018,12:15,15540,15540,15540,15540,0
05/03/2018,12:20,15540,15540,15540,15540,0
05/03/2018,12:25,15540,15540,15540,15540,0
05/03/2018,12:30,15540,15540,15540,15540,0
05/03/2018,12:35,15540,15540,15540,15540,0
05/03/2018,12:40,15540,15540,15540,15540,0
05/03/2018,12:45,15540,15540,15540,15540,0
05/03/2018,12:50,15540,15540,15540,15540,0
05/03/2018,12:55,15540,15540,15540,15540,0
05/03/2018,13:00,15540,15540,15540,15540,0
05/03/2018,13:05,15540,15540,15540,15540,0
05/03/2018,13:10,15540,15540,15540,15540,0
05/03/2018,13:15,15540,15540,15540,15540,0
05/03/2018,13:20,15540,15540,15540,15540,0
05/03/2018,13:25,15540,15540,15540,15540,0
05/03/2018,13:30,15540,15540,15540,15540,200
05/03/2018,13:35,15540,15555,15535,15550,6922
05/03/2018,13:40,15550,15550,15535,15545,3126
05/03/2018,13:45,15540,15550,15540,15550,680
05/03/2018,13:50,15550,15550,15540,15540,1546
05/03/2018,13:55,15540,15545,15535,15535,800
05/03/2018,14:00,15535,15545,15520,15525,2812
05/03/2018,14:05,15525,15525,15515,15520,3146
05/03/2018,14:10,15520,15535,15520,15520,2886
05/03/2018,14:15,15525,15530,15520,15525,1214
05/03/2018,14:20,15530,15535,15525,15530,850
05/03/2018,14:25,15530,15535,15525,15530,470
05/03/2018,14:30,15535,15545,15530,15540,1382
05/03/2018,14:35,15540,15550,15540,15545,3820
05/03/2018,14:40,15550,15560,15545,15555,7242
05/03/2018,14:45,15555,15570,15545,15555,8776
05/03/2018,14:50,15555,15575,15555,15565,12332
05/03/2018,14:55,15565,15590,15560,15590,10802
05/03/2018,15:00,15590,15595,15555,15565,10620
