Window,OOS_Start,OOS_End,OOS_Bars,ChnLen,StpPct,Entry_Position,End_Position,OOS_NetProfit,OOS_MaxDrawdown
1,2022-07-01 09:05:00,2022-09-30 15:00:00,4680,500,0.005,-1,1,14512.965000000471,-12293.847499999785
2,2022-10-10 09:05:00,2022-12-30 15:00:00,4320,3460,0.005,0,0,10751.140000000045,-3281.6624999999913
3,2023-01-03 09:05:00,2023-03-31 15:00:00,4248,3460,0.005,0,0,16935.879999999936,-4015.429999999964
4,2023-04-03 09:05:00,2023-06-30 15:00:00,4248,580,0.005,0,0,8900.385000000217,-8104.527499999909
5,2023-07-03 09:05:00,2023-09-28 15:00:00,4608,640,0.005,0,0,21706.985000000215,-8716.524999999834
6,2023-10-09 09:05:00,2023-12-29 15:00:00,4320,640,0.005,0,0,25603.08500000038,-7141.627499999813
7,2024-01-02 09:05:00,2024-03-29 15:00:00,4176,640,0.005,0,1,35006.78250000018,-4883.130000000034
8,2024-04-01 09:05:00,2024-06-28 15:00:00,4248,2020,0.005,1,0,32255.21249999993,-4829.797500000001
9,2024-07-01 09:05:00,2024-09-30 15:00:00,4608,640,0.005,0,0,17905.03000000024,-17014.17749999973
10,2024-10-08 09:05:00,2024-12-31 15:00:00,4392,2020,0.005,0,0,22059.40999999988,-6032.162500000035
11,2025-01-02 09:05:00,2025-03-31 15:00:00,4104,2030,0.005,0,1,67879.94750000021,-5182.897499999934
12,2025-04-01 09:05:00,2025-06-30 15:00:00,4320,2030,0.005,1,0,75144.4125,-5742.262499999924
13,2025-07-01 09:05:00,2025-09-30 15:00:00,4752,2030,0.005,0,0,41943.45000000004,-7105.794999999867
14,2025-10-09 09:05:00,2025-12-31 15:00:00,4320,1920,0.005,0,0,113459.22499999986,-12965.227500000125
15,2026-01-05 09:05:00,2026-03-31 15:00:00,4032,710,0.005,0,0,351157.350000001,-10170.56249999997
