Window,IS_Start,IS_End,OOS_Start,OOS_End,IS_Bars,OOS_Bars,ChnLen,StpPct,IS_NetProfit,IS_MaxDrawdown,IS_Objective,Evaluations,RuntimeSeconds
1,2018-07-02 09:05:00,2023-06-30 15:00:00,2023-07-03 09:05:00,2023-09-28 15:00:00,87408,4608,640,0.005,429937.405000004,-9792.179999999877,43.9061991303274,91296,7.247829291009111
2,2018-10-08 09:05:00,2023-09-28 15:00:00,2023-10-09 09:05:00,2023-12-29 15:00:00,87408,4320,640,0.005,446278.29000000376,-9792.179999999877,45.5749679846581,91296,8.566129165992606
3,2019-01-02 09:05:00,2023-12-29 15:00:00,2024-01-02 09:05:00,2024-03-29 15:00:00,87408,4176,640,0.005,462503.39500000374,-9792.179999999877,47.23191311842813,91296,8.481166457990184
4,2019-04-01 09:05:00,2024-03-29 15:00:00,2024-04-01 09:05:00,2024-06-28 15:00:00,87408,4248,640,0.005,485667.1975000042,-9792.179999999877,49.59745403985735,91296,8.688785125006689
5,2019-07-01 09:05:00,2024-06-28 15:00:00,2024-07-01 09:05:00,2024-09-30 15:00:00,87336,4608,640,0.005,511419.05500000296,-9792.179999999877,52.22729310531561,91296,8.203738915995928
6,2019-10-08 09:05:00,2024-09-30 15:00:00,2024-10-08 09:05:00,2024-12-31 15:00:00,87264,4392,2020,0.005,321489.2050000029,-6181.0900000002,52.01173336741457,91296,8.572362500010058
7,2020-01-02 09:05:00,2024-12-31 15:00:00,2025-01-02 09:05:00,2025-03-31 15:00:00,87264,4104,2030,0.005,331613.54000000324,-6181.0900000002,53.649686382174096,91296,8.427790167013882
8,2020-04-01 09:05:00,2025-03-31 15:00:00,2025-04-01 09:05:00,2025-06-30 15:00:00,87192,4320,2030,0.005,375067.8325000034,-6181.090000000084,60.67988534384685,91296,7.923296332999598
9,2020-07-01 09:05:00,2025-06-30 15:00:00,2025-07-01 09:05:00,2025-09-30 15:00:00,87264,4752,2030,0.005,406914.2300000031,-6181.090000000084,65.83211537123672,91296,6.936850250000134
10,2020-10-09 09:05:00,2025-09-30 15:00:00,2025-10-09 09:05:00,2025-12-31 15:00:00,87264,4320,1920,0.005,444352.5150000028,-7105.794999999693,62.53382133878363,91296,6.751481667015469
11,2021-01-04 09:05:00,2025-12-31 15:00:00,2026-01-05 09:05:00,2026-03-31 15:00:00,87264,4032,710,0.005,817420.8950000054,-16520.482499999693,49.47923857550895,91296,6.795063375000609
